term,HR,CI.low,CI.high,p.value
STAGEIII,0.812528217,0.509693688,1.295291897,0.38291773
STAGEIV,0.5520563,0.426910376,0.713887916,5.91E-06
AGE,0.98301658,0.974099683,0.992015102,2.29E-04
ARMcapecitabine,32.01760901,20.32601602,50.43424573,1.52E-50
ARMFAC,0.215840312,0.17172687,0.271285677,1.85E-39
ARMTAXOL,38.46739902,22.71712299,65.13768438,5.13E-42
MENOSother,1.683021734,0.994188343,2.849120267,0.052591155
MENOSpostmenopausal,1.84573526,1.028908175,3.311023017,0.039826412
MENOSpremenopausal,1.467900053,0.878924408,2.451553909,0.142434379
ECOG1,1.151406747,0.950073214,1.395405614,0.150522843
ERSPositive,0.6820285,0.5858235,0.794032459,8.11E-07
ERSUNK,0.993975408,0.794004179,1.244309713,0.957949571
HER2Positive,1.323626267,1.020510356,1.716774831,0.034603259
HER2UNK,1.038743101,0.798492334,1.351280636,0.777001037
STAGEII (ref),,,,
ARMACT (ref),,,,
MENOSUNK (ref),,,,
ECOG0 (ref),,,,
ERSNegative (ref),,,,
HER2Negative (ref),,,,
